word,level,frequency_ranking,pos,pinyin,definitions,source
保管,7,7305,verb,bǎoguǎn,to take care of; to safeguard; to ensure safekeeping,kaikki
保管,7,7305,adverb,bǎoguǎn,certainly; surely,kaikki
保管,7,7305,noun,bǎoguǎn,guardian; storeman; stockman; storekeeper; custodian,kaikki
保护,3,536,verb,bǎohù,to protect; to safeguard; to conserve; to preserve,kaikki
保健,6,8782,noun,bǎo jiàn,health protection | health care | to maintain in good health,drkameleon
保健,6,8782,verb,bǎojiàn,to maintain one's health; to preserve health,kaikki
保留,3,2921,verb,bǎoliú,to retain; to keep; to preserve; to hold back | to reserve | to defer for future discussion | to maintain (an original state),kaikki
保密,4,5279,verb,bǎomì,to keep secret; to maintain secrecy; to be confidential; to not disclose,kaikki
保姆,7,5382,noun,bǎomǔ,nursemaid; nanny; housekeeper; babysitter | school bus escort; school bus guide | female servant; maid; maidservant,kaikki
保暖,7,9897,verb,bǎonuǎn,to keep warm; to protect against the cold,kaikki
保守,4,4898,adjective,bǎoshǒu,conservative (tending to resist change or innovation),kaikki
保守,4,4898,verb,bǎoshǒu,to keep; to guard,kaikki
保卫,5,5011,verb,bǎowèi,to defend; to safeguard,kaikki
保鲜,7,16569,verb,bǎoxiān,to keep fresh,kaikki
保险,3,1430,noun,bǎoxiǎn,"safety (mechanical device on a firearm) | insurance; indemnity (equitable transfer of the risk of a loss, from one entity to another in exchange for payment)",kaikki
保险,3,1430,verb,bǎoxiǎn,to assure; to guarantee | to be bound to; to be sure to | to guard a strategic place; to defend a strategic pass,kaikki
保险,3,1430,adjective,bǎoxiǎn,safe; secure,kaikki
保险,3,1430,adverb,bǎoxiǎn,certainly,kaikki
保修,7,22465,verb,bǎoxiū,"to guarantee; to guarantee to keep something in good repair | to maintain (equipment, machines, etc.)",kaikki
保养,5,10030,verb,bǎoyǎng,"to maintain one's health; to keep fit | to keep (a vehicle, machinery, etc.) in good repair; to maintain",kaikki
保佑,7,4727,verb,bǎoyòu,to bless and protect; to be safeguarded,kaikki
保障,7,3491,verb,bǎozhàng,to assure; to ensure; to provide guarantee | to defend; to protect,kaikki
