id,word,level,difficulty,pos,pinyin,definitions
9162,消息,3,448,verb,xiāoxi,to increase and decrease; to ebb and flow; to rise and fall | to subjoin | to change | to rest; to recuperate | to calm down | to deliberate
4605,鞠躬,7,13875,verb,jūgōng,to bow; to make a bow | to visit a funeral
4605,鞠躬,7,13875,adjective,jūgōng,discreet and scrupulous
2072,短信,2,1000000,noun,duǎnxìn,text message; SMS | short letter
8069,糖葫芦,6,62842,noun,tánghúlu,"candied fruits on a bamboo skewer, especially Chinese hawthorn; tanghulu"
8114,特殊,4,1632,adjective,tèshū,special; exceptional
2976,构造,4,9731,noun,gòuzào,structure; construction
2976,构造,4,9731,verb,gòuzào,to build; to construct | to fabricate; to concoct; to make up a false set of facts
7538,事件,3,973,noun,shìjiàn,event; incident; occurrence | event (point in spacetime) | event (action which triggers an event handler) | event (subset of the sample space)
11315,自杀,5,2864,verb,zìshā,"to commit suicide; to kill oneself; to take one's own life | (of the buyer) to cut a fruit, etc., especially a pineapple oneself (instead of asking the vendor to do it)"
6322,平方,4,13429,noun,píngfāng,"square (as in square foot, square mile, square root); second power"
5236,立方,7,22390,noun,lìfāng,cube
9103,香蕉,3,5473,noun,xiāngjiāo,banana (fruit)
5122,老鼠,5,4016,noun,lǎoshǔ,"mouse and rat in general | cunning, deceitful person | bat (animal)"
8411,兔子,5,5002,noun,tùzi,rabbit; hare | gay man | male prostitute | female rascal or prostitute | China | pacemaker; pacesetter; pacer
10386,月亮,2,4781,noun,yuèliang,moon | the Moon
8351,头发,2,1533,noun,tóufa,hair on the head
349,鼻子,5,3484,noun,bízi | bízǐ,nose | nasal mucus; snot | firstborn
546,脖子,7,3554,noun,bózi,neck
1565,大象,5,8819,noun,dàxiàng,elephant
8749,我们,1,19,pronoun,wǒmen,"we; us | we; us (referring to the author(s) of the paper, even if the paper has only one author)"
6870,然后,2,275,conjunction,ránhòu,then; after that; afterwards; and
607,不可思议,7,4689,adjective,bùkěsīyì,inconceivable; unimaginable; incomprehensible | incomprehensible by the human mind
607,不可思议,7,4689,noun,bùkěsīyì,The number 10⁶⁴
5208,理论,3,1462,noun,lǐlùn,theory | theory (as opposed to practice) | reason
5208,理论,3,1462,verb,lǐlùn,to debate; to argue (with) | to reason things out; to judge between right and wrong | to look after; to tend; to be in charge of
5208,理论,3,1462,adjective,lǐlùn,theoretical
